variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08
info_fact_unreliable,ABW,17,27,44,30,17,24,21,3
info_fact_unreliable,AFG,200,295,521,529,469,272,348,121
info_fact_unreliable,AGO,285,592,936,858,854,789,728,243
info_fact_unreliable,AIA,8,28,33,46,32,34,34,15
info_fact_unreliable,ALB,210,422,699,783,689,410,536,203
info_fact_unreliable,ALD,13,10,13,19,6,8,5,3
info_fact_unreliable,AND,24,40,73,72,88,48,83,33
info_fact_unreliable,ARE,226,320,761,1003,881,500,681,221
info_fact_unreliable,ARG,5106,7424,13183,13669,13434,10929,12157,3828
info_fact_unreliable,ARM,36,52,85,96,105,70,78,28
info_fact_unreliable,ASM,39,54,162,267,210,144,246,63
info_fact_unreliable,ATA,125,201,361,359,328,193,299,93
info_fact_unreliable,ATC,0,0,0,0,0,0,0,0
info_fact_unreliable,ATF,4,11,40,84,108,46,53,16
info_fact_unreliable,ATG,53,53,120,115,111,42,61,32
info_fact_unreliable,AUS,6231,8995,18358,21771,19929,11050,17872,7703
info_fact_unreliable,AUT,554,900,1646,1537,1480,878,1048,343
info_fact_unreliable,AZE,146,200,743,932,752,402,815,285
info_fact_unreliable,BDI,26,30,54,51,32,20,19,8
info_fact_unreliable,BEL,1512,3148,5266,5897,5257,3384,3626,1537
info_fact_unreliable,BEN,79,177,248,240,182,143,182,70
info_fact_unreliable,BFA,131,301,546,458,455,287,398,123
info_fact_unreliable,BGD,369,570,956,1039,876,622,665,213
info_fact_unreliable,BGR,221,319,533,629,495,288,387,110
info_fact_unreliable,BHR,44,151,187,146,112,168,116,23
info_fact_unreliable,BHS,79,151,409,507,458,281,477,145
info_fact_unreliable,BIH,123,177,289,326,280,168,299,117
info_fact_unreliable,BJN,0,0,0,0,0,0,0,0
info_fact_unreliable,BLM,4,10,40,22,25,153,155,34
info_fact_unreliable,BLR,44,84,144,110,115,73,77,27
info_fact_unreliable,BLZ,45,66,103,101,135,71,90,39
info_fact_unreliable,BMU,28,42,73,99,67,54,54,21
info_fact_unreliable,BOL,896,983,1404,1468,1165,1051,1210,356
info_fact_unreliable,BRA,8213,24600,39726,44678,41537,61204,34214,9443
info_fact_unreliable,BRB,81,63,144,175,135,74,121,42
info_fact_unreliable,BRN,37,88,89,57,34,61,28,8
info_fact_unreliable,BTN,34,24,38,22,23,25,18,5
info_fact_unreliable,BWA,168,251,408,623,498,278,338,144
info_fact_unreliable,CAF,95,111,265,202,152,161,183,52
info_fact_unreliable,CAN,10467,12656,29979,38485,33248,19646,29734,12380
info_fact_unreliable,CHE,1032,1927,3037,3078,2640,1492,2071,767
info_fact_unreliable,CHL,3481,3600,6191,6363,4960,4603,4621,1611
info_fact_unreliable,CHN,1620,2421,2268,2130,1930,1187,1535,443
info_fact_unreliable,CIV,158,299,507,569,397,295,364,128
info_fact_unreliable,CLP,0,0,0,0,0,0,0,0
info_fact_unreliable,CMR,222,373,601,607,477,247,313,106
info_fact_unreliable,CNM,4,2,8,8,8,5,6,2
info_fact_unreliable,COD,219,489,659,560,388,232,357,104
info_fact_unreliable,COG,37,99,113,107,89,81,61,26
info_fact_unreliable,COK,2,1,11,44,31,11,2,0
info_fact_unreliable,COL,6324,7354,12662,13117,10350,9033,12081,3996
info_fact_unreliable,COM,1,6,5,9,3,1,4,54
info_fact_unreliable,CPV,15,101,95,45,19,26,30,4
info_fact_unreliable,CRI,718,850,1410,1803,1202,893,1058,331
info_fact_unreliable,CSI,0,0,0,0,0,0,0,0
info_fact_unreliable,CUB,978,1494,2449,2794,2426,2202,2311,830
info_fact_unreliable,CUW,11,11,29,46,35,27,37,30
info_fact_unreliable,CYM,39,64,199,222,167,109,233,67
info_fact_unreliable,CYN,16,14,45,82,50,36,40,14
info_fact_unreliable,CYP,161,306,663,771,745,456,604,199
info_fact_unreliable,CZE,217,252,473,490,466,238,322,103
info_fact_unreliable,DEU,4473,7877,14352,12994,13823,8313,10142,3441
info_fact_unreliable,DJI,17,20,45,47,84,73,106,15
info_fact_unreliable,DMA,3,1,10,7,13,8,13,5
info_fact_unreliable,DNK,233,389,785,969,934,790,1153,427
info_fact_unreliable,DOM,1076,1538,2035,1819,1483,1399,1627,802
info_fact_unreliable,DZA,216,176,367,220,286,168,150,45
info_fact_unreliable,ECU,7259,6827,8768,9474,8150,6718,6783,2811
info_fact_unreliable,EGY,374,664,1253,1025,1013,854,787,204
info_fact_unreliable,ERI,13,27,45,54,31,21,16,2
info_fact_unreliable,ESB,1,5,8,11,15,6,13,3
info_fact_unreliable,ESP,7305,18453,39453,37092,36860,24867,26955,6419
info_fact_unreliable,EST,125,190,392,309,265,177,289,74
info_fact_unreliable,ETH,194,316,488,570,341,290,268,98
info_fact_unreliable,FIN,639,885,1430,1552,1298,807,1149,358
info_fact_unreliable,FJI,107,210,352,387,318,194,286,95
info_fact_unreliable,FLK,5,0,8,8,12,12,11,2
info_fact_unreliable,FRA,8022,26931,47409,32065,27505,10520,15784,6984
info_fact_unreliable,FRO,15,24,60,65,45,38,41,16
info_fact_unreliable,FSM,3,7,17,13,23,12,16,2
info_fact_unreliable,GAB,47,94,161,181,201,102,177,64
info_fact_unreliable,GBR,17474,32448,82785,124063,168751,94292,75716,27572
info_fact_unreliable,GEO,29,38,72,63,60,19,38,17
info_fact_unreliable,GGY,17,15,39,49,37,20,17,4
info_fact_unreliable,GHA,723,1182,1561,1891,1790,759,837,258
info_fact_unreliable,GIB,67,138,194,123,144,46,46,17
info_fact_unreliable,GIN,245,745,808,939,870,637,838,231
info_fact_unreliable,GMB,5,4,8,3,12,25,6,6
info_fact_unreliable,GNB,46,89,63,48,59,30,38,7
info_fact_unreliable,GNQ,10,12,47,38,34,20,19,3
info_fact_unreliable,GRC,714,1108,2022,2243,2010,1203,1509,551
info_fact_unreliable,GRD,33,95,205,209,156,130,136,31
info_fact_unreliable,GRL,21,48,153,110,80,68,118,48
info_fact_unreliable,GTM,1149,1343,2100,2122,1869,1737,2378,929
info_fact_unreliable,GUM,35,48,114,115,122,47,90,38
info_fact_unreliable,GUY,32,61,154,175,114,169,154,112
info_fact_unreliable,HKG,3366,3318,2683,3553,4745,1342,1541,364
info_fact_unreliable,HMD,1,1,9,0,2,0,2,1
info_fact_unreliable,HND,496,583,1072,954,843,972,911,231
info_fact_unreliable,HRV,130,236,369,490,375,222,314,115
info_fact_unreliable,HTI,296,621,1111,1020,839,416,606,185
info_fact_unreliable,HUN,310,491,584,514,503,309,403,145
info_fact_unreliable,IDN,8009,6612,8149,6793,5353,3322,4461,1289
info_fact_unreliable,IMN,11,26,85,114,117,46,48,37
