variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
epi_cases,AFG,,1,141,1949,14525,31238,36542,38162,39254,41425,43403
epi_cases,AGO,,,7,27,84,276,1078,2624,4905,10269,13374
epi_cases,ALB,,,223,766,1122,2466,5197,9380,13518,20634,27830
epi_cases,AND,,,370,743,764,855,922,1124,1966,4665,5872
epi_cases,ARE,4,21,611,11929,33896,48246,60506,69690,93090,131508,150345
epi_cases,ARG,,,966,4272,16201,62255,178983,401226,736596,1157166,1310476
epi_cases,ARM,,,532,2066,9282,25542,38550,43750,49901,89813,117886
epi_cases,ASM,,,,,,,,,,,
epi_cases,ATG,,,7,24,25,66,91,94,101,127,134
epi_cases,AUS,7,25,4557,6746,7185,7767,16303,25670,27063,27582,27725
epi_cases,AUT,,7,9618,15364,16638,17666,21009,27218,44607,101443,203494
epi_cases,AZE,,1,273,1766,5246,16968,31560,36309,40119,54174,75688
epi_cases,BDI,,,,15,42,170,387,445,506,582,628
epi_cases,BEL,,1,15296,49939,58915,61884,69590,85396,122352,342509,
epi_cases,BEN,,,6,69,232,1187,1770,2145,2340,2643,2844
epi_cases,BFA,,,222,641,853,959,1117,1368,2032,2477,2641
epi_cases,BGD,,,49,7103,44608,141801,234889,310822,362043,406364,432333
epi_cases,BGR,,,359,1447,2513,4831,11420,16190,20547,51041,98251
epi_cases,BHR,,38,515,2921,10793,26239,40755,51574,70422,81466,84703
epi_cases,BHS,,,14,80,102,104,508,2167,3903,6644,7186
epi_cases,BIH,,,353,1689,2493,4343,11444,19789,27222,48137,70900
epi_cases,BLM,,,,,,,,,,,
epi_cases,BLR,,1,105,13181,41658,61790,67665,71687,78260,97499,114185
epi_cases,BLZ,,,3,18,18,24,48,994,1943,3462,4861
epi_cases,BMU,,,27,111,140,146,156,169,181,199,222
epi_cases,BOL,,,107,1110,9592,32125,75234,115968,134641,141631,143246
epi_cases,BRA,,1,4579,78162,498440,1368195,2610102,3862311,4777522,5516658,5848959
epi_cases,BRB,,,34,80,92,97,110,173,190,236,250
epi_cases,BRN,,,127,138,141,141,141,144,146,148,148
epi_cases,BWA,,,,23,35,175,804,1633,3172,6642,8225
epi_cases,CAF,,,6,50,962,3613,4605,4700,4825,4866,4900
epi_cases,CAN,3,16,7424,51587,90179,103907,115785,127940,156961,231999,296077
epi_cases,CHE,,12,15412,29324,30762,31569,34933,41906,52751,153728,256186
epi_cases,CHL,,,2449,14885,94858,275999,353536,409974,461300,508571,531273
epi_cases,CHN,9714,79355,82241,83944,84128,84780,87489,89895,90528,91299,91636
epi_cases,CIV,,,168,1238,2799,9214,15978,17948,19669,20692,20976
epi_cases,CMR,,,142,1832,5904,12592,17255,19142,20838,21793,22692
epi_cases,COD,,,98,500,2966,6939,9010,10044,10630,11305,11789
epi_cases,COG,,,19,220,587,1245,3376,3979,5089,5290,5379
epi_cases,COL,,,798,6211,28236,95043,286020,607938,824042,1063151,1198746
epi_cases,CRI,,,330,713,1047,3269,17290,39699,74604,108866,123223
epi_cases,CUB,,,170,1467,2025,2340,2597,3973,5531,6801,7590
epi_cases,CYM,,,12,73,141,199,203,205,211,240,254
epi_cases,CYP,,,230,843,943,996,1084,1487,1743,4217,7178
epi_cases,CZE,,,3002,7579,9230,11805,16342,24367,67843,323673,460116
epi_cases,DEU,5,57,61913,159119,181482,194259,208698,242381,289219,518753,801327
epi_cases,DJI,,,26,1077,3194,4656,5081,5385,5416,5559,5649
epi_cases,DNK,,2,2577,9008,11633,12751,13725,16700,27464,45225,62136
epi_cases,DOM,,,901,6652,16908,31816,67915,94241,111900,126332,133724
epi_cases,DZA,,1,584,3848,9267,13571,29831,44146,51368,57651,67679
epi_cases,ECU,,,1966,24675,38571,55665,84370,113648,135749,167147,180295
epi_cases,EGY,,1,609,5268,23449,66754,93757,98727,103079,107376,110767
epi_cases,ESP,,54,104267,215183,239429,249271,288522,462858,769188,1185678,1496864
epi_cases,EST,,1,715,1666,1865,1987,2051,2373,3315,4771,7637
epi_cases,ETH,,,23,130,1063,5846,16615,51122,74584,95789,102720
epi_cases,FIN,1,3,1313,4906,6826,7209,7423,8077,9892,15910,19315
epi_cases,FJI,,,5,18,18,18,27,28,32,34,35
epi_cases,FRA,6,57,44550,128442,151496,164260,186573,277943,550690,1331984,1981827
epi_cases,FRO,,,168,187,187,187,220,411,463,494,498
epi_cases,GAB,,,7,276,2655,5394,7352,8505,8752,8968,9062
epi_cases,GBR,,30,29681,167150,254390,283541,302301,334467,446156,989745,1369318
epi_cases,GEO,,2,98,517,757,928,1160,1487,5866,38936,82835
epi_cases,GHA,,,152,1671,7768,17351,35142,44205,46482,48055,50123
epi_cases,GIB,,,69,141,161,177,187,285,391,693,902
epi_cases,GIN,,,16,1351,3706,5351,7242,9371,10634,12072,12611
epi_cases,GNB,,,2,77,1256,1614,1981,2205,2324,2403,2419
epi_cases,GRC,,4,1212,2576,2915,3390,4401,10134,18123,37196,74205
epi_cases,GRD,,,9,20,23,23,24,24,24,28,32
epi_cases,GRL,,,10,11,13,13,14,14,14,17,17
epi_cases,GTM,,,36,585,4739,17409,48826,73912,90968,107339,114885
epi_cases,GUM,,,60,145,173,257,356,1347,2443,4681,6121
epi_cases,GUY,,,8,78,152,235,401,1234,2846,4143,4823
epi_cases,HKG,,,,,,,,,,,
epi_cases,HND,,,141,771,5094,18818,41426,60174,76098,96888,103102
