rank,fact_type,count,domain,url
1,CLICKBAIT,26,mirror.co.uk,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
2,CONSPIRACY/JUNKSCI,6,zerohedge.com,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
3,POLITICAL,5,rappler.com,http://rappler.com/world
4,POLITICAL,5,oglobo.globo.com,https://oglobo.globo.com/sociedade/coronavirus/nem-um-beijo-contra-coronavirus-autoridades-pedem-as-pessoas-que-evitem-contatos-afetuosos-24273210?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
5,POLITICAL,5,rollingstone.com,https://rol.st/396qdge
6,POLITICAL,3,cnn.it,https://cnn.it/38xclfc
7,POLITICAL,3,cnn.it,https://cnn.it/2tu0d1h
8,CONSPIRACY/JUNKSCI,3,zerohedge.com,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
9,CLICKBAIT,3,mirror.co.uk,https://www.mirror.co.uk/sport/football/news/odion-ighalo-involved-man-utd-21488840
10,POLITICAL,2,cnn.it,https://cnn.it/36iundb
11,POLITICAL,2,cnn.it,https://cnn.it/2tebmcr
12,POLITICAL,2,theepochtimes.com,https://www.theepochtimes.com/chinese-social-media-depicts-chaos-in-virus-hit-wuhan_3215227.html
13,POLITICAL,2,cnn.it,https://cnn.it/2ryhobo
14,FAKE/HOAX,2,dailymail.co.uk,https://www.dailymail.co.uk/news/article-7933405/wuhan-mayor-admits-withholding-information-coronavirus-outbreak.html
15,POLITICAL,2,cnn.it,https://cnn.it/30uylfu
16,POLITICAL,2,cnn.it,https://cnn.it/3aq1ygd
17,POLITICAL,2,dailywire.com,https://www.dailywire.com/news/chinese-ambassador-does-not-deny-coronavirus-came-from-biological-warfare-program/
18,POLITICAL,2,eldiario.es,https://www.eldiario.es/canariasahora/sociedad/medico-italiano-positivo-coronavirus-tenerife_0_999151062.html
19,POLITICAL,2,eldiario.es,https://www.eldiario.es/sociedad/madrid-confirma-primer-positivo-coronavirus_0_999501133.html
20,FAKE/HOAX,2,albertonews.com,https://albertonews.com/nacionales/urgente-hospitales-en-venezuela-no-estan-aptos-para-enfrentar-el-coronavirus-video/
