rank,fact_type,count,domain,url
1,POLITICAL,8,thedailybeast.com,https://www.thedailybeast.com/sen-kelly-loeffler-dumped-millions-in-stock-after-coronavirus-briefing
2,POLITICAL,4,rawstory.com,https://www.rawstory.com/2020/03/gop-blocking-coronavirus-bill-because-it-limits-how-much-drugmakers-can-charge-for-a-vaccine-report/
3,FAKE/HOAX,3,dailymail.co.uk,https://www.dailymail.co.uk/news/article-7933405/wuhan-mayor-admits-withholding-information-coronavirus-outbreak.html
4,POLITICAL,3,rollingstone.com,https://rol.st/396qdge
5,POLITICAL,2,thepostmillennial.com,https://www.thepostmillennial.com/quebec-politician-praises-coronavirus-for-reducing-carbon-footprint-in-wuhan/
6,POLITICAL,2,cnn.it,http://cnn.it/38qxaax
7,POLITICAL,2,thedailybeast.com,https://www.thedailybeast.com/qanon-conspiracy-theorists-magic-cure-for-coronavirus-is-drinking-lethal-bleach?ref=author
8,POLITICAL,2,deadstate.org,https://deadstate.org/jim-bakker-you-can-kill-the-coronavirus-in-12-hours-with-my-silver-solution-ointment/
9,POLITICAL,2,dailywire.com,https://www.dailywire.com/news/report-suggests-that-details-point-to-coronavirus-coming-from-chinese-lab
10,POLITICAL,2,theweek.com,https://theweek.com/speedreads/897826/member-trumps-coronavirus-task-force-asks-twitter-help-accessing-map-virus
11,CLICKBAIT,2,soompi.com,https://www.soompi.com/article/1385869wpp/pledis-entertainment-denies-rumors-that-nuests-minhyun-was-infected-with-coronavirus
12,POLITICAL,2,rawstory.com,https://www.rawstory.com/2020/03/matt-gaetz-mocks-essential-coronavirus-funding-by-strapping-on-a-gas-mask/
13,POLITICAL,2,vox.com,https://www.vox.com/2020/3/4/21164477/trump-donates-salary-hhs-coronavirus
14,CLICKBAIT,2,mirror.co.uk,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
15,POLITICAL,2,deadstate.org,https://deadstate.org/christian-megachurch-cancels-faith-healing-service-in-response-to-coronavirus-outbreak/
16,POLITICAL,2,newyorker.com,https://www.newyorker.com/news/news-desk/what-went-wrong-with-coronavirus-testing-in-the-us
17,POLITICAL,2,salon.com,https://www.salon.com/2020/03/21/govern-me-daddy-kentucky-governor-andy-beshear-a-clean-cut-sex-symbol-for-the-coronavirus-age/
18,FAKE/HOAX,1,summit.news,https://summit.news/2020/01/22/japan-shopkeeper-hangs-sign-in-response-to-coronavirus-panic-no-chinese-allowed/
19,POLITICAL,1,democracynow.org,https://www.democracynow.org/2020/1/23/headlines/chinese_authorities_seal_off_city_of_wudan_as_coronavirus_spreaks
20,FAKE/HOAX,1,dailymail.co.uk,https://www.dailymail.co.uk/news/article-7920573/revolting-footage-shows-chinese-woman-eating-bat-scientists-link-coronavirus-animal.html
