rank,fact_type,count,domain,title,url
1,CLICKBAIT,6,mirror.co.uk,Coronavirus experts warn people to stop kissing as UK crisis continues to grow,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
2,POLITICAL,5,news.chosun.com,"[단독] ""방탄소년단 팬들, 콘서트 환불금→기부..무려 453건 2천만원"" (인터뷰)",https://news.chosun.com/site/data/html_dir/2020/02/28/2020022802911.html
3,POLITICAL,5,bfmtv.com,Coronavirus: Castaner prévient que la violation des règles de confinement sera puni d'une amende de 38 €,https://www.bfmtv.com/sante/direct-coronavirus-covid-19-france-symptome-cas-mort-confinement-quarantaine-ecole-fermee-report-municipales-second-tour-italie-espagne/#content/contribution/edit
4,POLITICAL,4,rappler.com,World,http://rappler.com/world
5,FAKE/HOAX,4,rt.com,"First two cases of coronavirus confirmed in Russia, both Chinese citizens",https://on.rt.com/aa5v
6,SATIRE,4,scienceinfo.fr,Coronavirus : la fellation moins contagieuse qu’une poignée de main selon l’OMS - Science Info,http://www.scienceinfo.fr/coronavirus-la-fellation-moins-contagieuse-quune-poignee-de-main-selon-loms/
7,POLITICAL,4,bfmtv.com,Coronavirus: les Hôpitaux de Paris lancent un appel aux dons sur Facebook,https://www.bfmtv.com/tech/coronavirus-les-hopitaux-de-paris-lancent-un-appel-aux-dons-sur-facebook-1878319.html
8,CLICKBAIT,3,allkpop.com,"BTS’s V Shows Concern, Urges Fans To Be Careful Of The Coronavirus.",https://www.allkpop.com/article/2020/01/btss-v-shows-concerns-urges-fans-to-be-careful-of-the-coronavirus
9,CLICKBAIT,3,allkpop.com,NCT Dream and SF9 fans demand their labels take action to keep artists out of China due to the coronavirus,https://www.allkpop.com/article/2020/01/nct-dream-and-sf9-fans-demand-their-labels-take-action-to-keep-artists-out-of-china-due-to-the-coronavirus
10,POLITICAL,3,bfmtv.com,"Ce n'est plus une blague, la bière Corona souffre vraiment de son association avec le coronavirus",https://www.bfmtv.com/economie/ce-n-est-plus-une-blague-la-biere-corona-souffre-vraiment-de-son-association-avec-le-coronavirus-1865325.html#page/contribution/index
11,CLICKBAIT,3,soompi.com,BTS’s Fans ARMY Donate Refunds From Concert Cancelation To Help Coronavirus Prevention,https://www.soompi.com/article/1385652wpp/btss-fans-army-donate-refunds-from-concert-cancelation-to-help-coronavirus-prevention
12,CLICKBAIT,3,mirror.co.uk,,https://www.mirror.co.uk/news/uk-news/coronavirus-live-california-declares-state-21635215
13,FAKE/HOAX,3,breitbart.com,15 Hollywood Celebs Spreading Fear and Fake News About Coronavirus,https://www.breitbart.com/entertainment/2020/03/06/15-hollywood-celebs-spreading-fear-and-fake-news-about-coronavirus/
14,POLITICAL,3,bfmtv.com,"Coronavirus: « Il n'y a pas de sur-risque à aller voter » pour les municipales, assure Olivier Véran",https://www.bfmtv.com/sante/coronavirus-france-cas-carte-symptome-mort-bilan-paris-oise-mulhouse-morbihan-corse-ajaccio-stade-3-ecoles/
15,FAKE/HOAX,2,dailymail.co.uk,Killer coronavirus could be spread through the EYES,https://www.dailymail.co.uk/health/article-7926243/killer-coronavirus-spread-eyes.html?ito=amp_whatsapp_share-top
16,FAKE/HOAX,2,rt.com,City turned ghost town: Take a look inside sealed-off Wuhan amid coronavirus outbreak in China (VIDEO),https://on.rt.com/a9wi
17,CLICKBAIT,2,allkpop.com,Super Junior postpones Kuala Lumpur concert due to coronavirus,https://www.allkpop.com/article/2020/02/super-junior-postpones-kuala-lumpur-concert-due-to-coronavirus
18,FAKE/HOAX,2,breaking911.com,"Coronavirus Can Be Spread By People Who Aren’t Showing Symptoms, CDC Confirms - Breaking911",https://breaking911.com/breaking-coronavirus-can-be-spread-by-people-who-arent-showing-symptoms-cdc-confirms/
19,CLICKBAIT,2,entertain.v.daum.net,,http://entertain.v.daum.net/v/20200219144008670sbs
20,CLICKBAIT,2,koreaboo.com,BLACKPINK's March Comeback Has Reportedly Been Postponed Due To Coronavirus,https://www.koreaboo.com/news/blackpinks-march-comeback-reportedly-postponed-due-coronavirus-covid-19/
