rank,fact_type,count,domain,title,url
1,FAKE/HOAX,26,express.co.uk,China furious as leading German newspaper writes out £130BN bill for 'coronavirus damages',https://www.express.co.uk/news/world/1271028/angela-merkel-germany-china-coronavirus-blame-wuhan-xi-jinping-trump-latest?fbclid=iwar3piqce96nhzoohwwnppwu7j8y_zc_wqgtwlt2pyglgh3lcbd00cftzo-8
2,FAKE/HOAX,20,express.co.uk,China furious as leading German newspaper writes out £130BN bill for 'coronavirus damages',https://www.express.co.uk/news/world/1271028/angela-merkel-germany-china-coronavirus-blame-wuhan-xi-jinping-trump-latest
3,FAKE/HOAX,9,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
4,FAKE/HOAX,7,dailymail.co.uk,"Nurse treating coronavirus in China claims 90,000 people are infected",https://www.dailymail.co.uk/news/article-7929657/amp/nurse-treating-coronavirus-sufferers-china-claims-90-000-people-infected.html?__twitter_impression=true
5,CONSPIRACY/JUNKSCI,7,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
6,FAKE/HOAX,7,albertonews.com,Médicos del Hospital Militar de Maracay evalúan a paciente para descartar contagio de coronavirus - AlbertoNews - Periodismo sin censura,https://albertonews.com/nacionales/ultima-hora-reportan-presunto-posible-caso-de-coronavirus-en-maracay-estado-aragua/
7,FAKE/HOAX,5,albertonews.com,,https://albertonews.com/internacionales/ultima-hora-china-llama-a-dialogo-para-solventar-la-crisis-en-venezuela/
8,FAKE/HOAX,5,dailymail.co.uk,Half of Uruguay's coronavirus cases traced to single guest at wedding,https://www.dailymail.co.uk/news/article-8135413/half-uruguays-coronavirus-cases-traced-single-guest-society-wedding.html
9,FAKE/HOAX,5,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
10,FAKE/HOAX,4,dailymail.co.uk,The Pope says he has asked God to stop the coronavirus epidemic,https://www.dailymail.co.uk/news/article-8125507/the-pope-says-asked-god-stop-coronavirus-epidemic.html
11,FAKE/HOAX,4,dailymail.co.uk,There are THREE separate types of coronavirus,https://www.dailymail.co.uk/sciencetech/article-8204255/there-three-separate-types-coronavirus.html
12,FAKE/HOAX,3,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/china-building-1000-bed-hospital-21349892?fbclid=iwar3c0ohxlc2d1qzq8gxq39rbp2ep7ak4ejmiyt-2a4kyhnpam5k-cp-sgqg
13,FAKE/HOAX,3,albertonews.com,,https://albertonews.com/nacionales/urgente-40-privados-de-libertad-del-reten-de-cabimas-fueron-diagnosticados-con-tuberculosis/
14,FAKE/HOAX,3,albertonews.com,,https://albertonews.com/internacionales/infectados-con-coronavirus-intentan-propagar-virus-escupiendo-a-doctores-y-enfermeras-en-china/
15,FAKE/HOAX,3,albertonews.com,,https://albertonews.com/internacionales/ultima-hora-se-confirma-primer-caso-de-colombiano-con-coronavirus/
16,FAKE/HOAX,3,albertonews.com,Hospitales en Venezuela no están aptos para enfrentar el coronavirus (Video) - AlbertoNews - Periodismo sin censura,https://albertonews.com/nacionales/urgente-hospitales-en-venezuela-no-estan-aptos-para-enfrentar-el-coronavirus-video/
17,FAKE/HOAX,2,albertonews.com,,https://albertonews.com/internacionales/china-cree-que-el-nuevo-coronavirus-podria-mutar-y-propagarse-mientras-aumenta-el-numero-de-muertos/
18,FAKE/HOAX,2,rt.com,Chinese authorities share FIRST PHOTOS of deadly coronavirus,https://on.rt.com/a9n5
19,CONSPIRACY/JUNKSCI,2,zerohedge.com,WHO Declares Coronavirus Outbreak A 'Global Pandemic',https://www.zerohedge.com/geopolitical/watch-live-who-reveals-decision-coronavirus-pandemic-status
20,FAKE/HOAX,2,albertonews.com,,https://albertonews.com/internacionales/ultima-hora-avion-de-alitalia-fue-bloqueado-en-la-isla-de-mauricio-por-el-coronavirus/
