rank,fact_type,count,domain,title,url
1,FAKE/HOAX,24,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
2,FAKE/HOAX,3,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/scientists-blame-coronavirus-bats-pics-21337997
3,CONSPIRACY/JUNKSCI,3,peta.org,"New Coronavirus Linked to Animal Flesh, Sources Warn | PETA",http://peta.vg/2ran
4,CONSPIRACY/JUNKSCI,3,truepundit.com,James Clapper refuses to testify to Congress in person ‘until there’s a COVID vaccine’ – True Pundit,https://truepundit.com/james-clapper-refuses-to-testify-to-congress-in-person-until-theres-a-covid-vaccine/
5,FAKE/HOAX,2,bongino.com,Not a Joke: CNN Complains That Trump's Coronavirus Task Force Lacks Diversity | Dan Bongino,https://bongino.com/not-a-joke-cnn-upset-that-trumps-coronavirus-task-force-lacks-diversity/
6,CONSPIRACY/JUNKSCI,2,zerohedge.com,"China Reports Huge Jump In New Coronavirus Infections And Deaths; Oil, Stocks Tumble",https://www.zerohedge.com/markets/china-reports-huge-jump-new-coronavirus-infections-deaths-oil-stocks-tumble-gold-soars
7,FAKE/HOAX,2,ibtimes.sg,,https://www.ibtimes.sg/a000apq?utm_source=social&utm_medium=twitter&utm_campaign=/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
8,FAKE/HOAX,2,davidharrisjr.com,Secret Service Notified After Dem Government Official Stands Behind Idea To Attack Trump Supporters With Coronavirus,https://davidharrisjr.com/carmine/secret-service-notified-after-democrat-government-official-stands-behind-idea-to-disgustingly-attack-president-donald-trumps-supporters-with-the-deadly-coronavirus/
9,FAKE/HOAX,2,waynedupree.com,"Report: Kid Rock's ""Honky Tonk"" Won't Close Nashville Bar, Says Mayor's Request is ""Unconstitutional""",https://www.waynedupree.com/kid-rock-nashville-coronavirus/
10,FAKE/HOAX,2,pjmedia.com,HUGE: The UK Just Dumped China's Huawei in 5G Tech Roll-Out — Citing its Lies Over Coronavirus.,https://pjmedia.com/trending/huge-the-uk-just-dumped-chinas-huawei-in-5g-tech-roll-out-citing-its-lies-over-coronavirus/
11,FAKE/HOAX,2,thegatewaypundit.com,"""It's a Horror Movie... Patients Left to Rot and Die"" - Nurse Practitioner Posts Alarming Video on Abuse and Malpractice of Elderly NYC COVID Victims",https://www.thegatewaypundit.com/2020/04/horror-movie-patients-left-rot-die-nurse-practitioner-posts-alarming-video-abuse-malpractice-elderly-nyc-covid-victims/
12,FAKE/HOAX,2,dailymail.co.uk,Joe Biden rambles during interview on coronavirus response ,https://www.dailymail.co.uk/news/article-8234597/joe-biden-rambles-struggles-words-interview-coronavirus-response.html?ito=applenews
13,FAKE/HOAX,2,breitbart.com,Congressman: Pelosi Blocking Investigation into China Coronavirus Origins,https://www.breitbart.com/politics/2020/05/03/congressman-nancy-pelosi-blocking-investigation-chinese-coronavirus-origins/
14,FAKE/HOAX,2,thegatewaypundit.com,Greta Thunberg Named To CNN’s 'Expert' Coronavirus Panel; Twitter Explodes,https://www.thegatewaypundit.com/2020/05/greta-thunberg-named-cnns-expert-coronavirus-panel-twitter-explodes/?utm_source=twitter&utm_campaign=websitesharingbuttons
15,FAKE/HOAX,2,breitbart.com,Mayor Eric Garcetti: L.A. Won’t Completely Open Until We Have a 'Cure',https://www.breitbart.com/politics/2020/05/13/mayor-eric-garcetti-l-a-wont-completely-open-until-we-have-coronavirus-cure/
16,FAKE/HOAX,2,dailymail.co.uk,Japan's suicide rate falls by a fifth during coronavirus pandemic,https://www.dailymail.co.uk/news/article-8320531/japans-suicide-rate-falls-fifth-coronavirus-pandemic.html
17,FAKE/HOAX,1,breaking911.com,Suspected Case Of Novel Coronavirus Being Investigated In Texas; Patient Being Isolated In Home - Breaking911,https://breaking911.com/breaking-suspected-case-of-novel-coronavirus-being-investigated-in-texas-patient-being-isolated-in-home/
18,FAKE/HOAX,1,summit.news,Videos Show Chinese People Eating Bats As Experts Link Animal to Coronavirus Outbreak,https://summit.news/2020/01/23/videos-show-chinese-people-eating-bats-as-experts-link-animal-to-coronavirus-outbreak/
19,CONSPIRACY/JUNKSCI,1,zerohedge.com,This Is How China Is Hiding The True Number Of Coronavirus Deaths,https://www.zerohedge.com/economics/how-china-hiding-true-number-coronavirus-deaths
20,CONSPIRACY/JUNKSCI,1,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
