rank,fact_type,count,domain,title,url
1,CONSPIRACY/JUNKSCI,730,zerohedge.com,North Korea's First Confirmed Coronavirus Patient Shot Dead,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
2,FAKE/HOAX,590,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
3,FAKE/HOAX,54,express.co.uk,China furious as leading German newspaper writes out £130BN bill for 'coronavirus damages',https://www.express.co.uk/news/world/1271028/angela-merkel-germany-china-coronavirus-blame-wuhan-xi-jinping-trump-latest
4,FAKE/HOAX,45,ibtimes.sg,North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report,https://www.ibtimes.sg/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
5,FAKE/HOAX,45,dailymail.co.uk,Japanese island hit by second wave of coronavirus after lockdown ends,https://www.dailymail.co.uk/news/article-8270245/japanese-island-hit-second-wave-coronavirus-ending-lockdown-early.html
6,CONSPIRACY/JUNKSCI,20,peta.org,"New Coronavirus Linked to Animal Flesh, Sources Warn | PETA",http://peta.vg/2ran
7,FAKE/HOAX,19,dailymail.co.uk,The Pope says he has asked God to stop the coronavirus epidemic,https://www.dailymail.co.uk/news/article-8125507/the-pope-says-asked-god-stop-coronavirus-epidemic.html
8,CONSPIRACY/JUNKSCI,18,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
9,FAKE/HOAX,17,dailymail.co.uk,"China's top virus lab is in Wuhan, the center of the outbreak",https://www.dailymail.co.uk/health/article-7922379/amp/chinas-lab-studying-sars-ebola-wuhan-outbreaks-center.html?__twitter_impression=true
10,FAKE/HOAX,17,dailymail.co.uk,U.S. gave $3.7million grant to lab at center coronavirus scandal,https://www.dailymail.co.uk/news/article-8211291/u-s-government-gave-3-7million-grant-wuhan-lab-experimented-coronavirus-source-bats.html
11,FAKE/HOAX,16,presstv.com,Coronavirus was produced in a laboratory: Former CIA intel officer,https://www.presstv.com/detail/2020/03/05/620213/coronavirus-was-produced-in-a-laboratory
12,FAKE/HOAX,16,dailymail.co.uk,What happened to those who spoke up about coronavirus in China?,https://www.dailymail.co.uk/news/article-8233203/chinas-disappeared-happened-dared-speak-coronavirus.html
13,FAKE/HOAX,16,wnd.com,Coronavirus: China continues to flood world with defective medical supplies - WND,https://www.wnd.com/2020/04/coronavirus-china-continues-flood-world-defective-medical-supplies/?utm_source=twitter&utm_medium&utm_content=2020-04-25
14,FAKE/HOAX,15,rt.com,‘We have to wait for a patient to die so others can use his bed & ventilator’ – doctor in hardest-hit Ecuador city to RT,https://on.rt.com/aehs
15,CONSPIRACY/JUNKSCI,15,wakingtimes.com,,https://www.wakingtimes.com/2020/04/09/robert-f-kennedy-jr-responds-to-bill-gates-statements-on-a-mandatory-coronavirus-vaccine/
16,CONSPIRACY/JUNKSCI,14,globalresearch.ca,"Manufactured Pandemic: Testing People for Any Strain of a Coronavirus, Not Specifically for COVID-19 - Global Research",https://www.globalresearch.ca/manufactured-pandemic-testing-people-any-strain-coronavirus-not-specifically-covid-19/5707781
17,FAKE/HOAX,14,wnd.com,Busted! Associated Press caught with claim that '2 million' died of coronavirus - WND,https://www.wnd.com/2020/04/busted-associated-press-caught-claim-2-million-died-coronavirus/?utm_source=dlvr.it&utm_medium=twitter&utm_content=2020-04-15
18,FAKE/HOAX,13,presstv.com,Bill Gates warns coronavirus may kill over 10 million people in Africa,https://www.presstv.com/detail/2020/02/17/618896/bill-gates-us-china-coronavirus-africa
19,FAKE/HOAX,12,dailymail.co.uk,Piers Corbyn claims Bill Gates and George Soros are behind coronavirus,https://www.dailymail.co.uk/news/article-8117325/jeremy-corbyns-brother-piers-claims-bill-gates-george-soros-coronavirus.html
20,CONSPIRACY/JUNKSCI,11,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
