rank,fact_type,count,domain,title,url
1,FAKE/HOAX,15,thegatewaypundit.com,80 Patients and Staff Members Come Down with Coronavirus at Texas Nursing Home - 39 of 39 Saved by Hydroxychloroquine Treatment,https://www.thegatewaypundit.com/2020/05/80-patients-staff-members-come-coronavirus-texas-nursing-home-hydroxychloroquine-treatment-saves-1-patient/
2,FAKE/HOAX,4,dailymail.co.uk,Third Russian doctor plunges from coronavirus hospital window,https://www.dailymail.co.uk/news/article-8282033/third-russian-doctor-plunges-coronavirus-hospital-window.html
3,FAKE/HOAX,3,dailymail.co.uk,Did coronavirus originate in Chinese government laboratory?,https://www.dailymail.co.uk/news/article-8009669/did-coronavirus-originate-chinese-government-laboratory.html
4,FAKE/HOAX,3,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
5,FAKE/HOAX,2,dailymail.co.uk,Killer coronavirus could be spread through the EYES,https://www.dailymail.co.uk/health/article-7926243/killer-coronavirus-spread-eyes.html?ito=amp_whatsapp_share-top
6,FAKE/HOAX,2,dreuz.info,"#Coronavirus : au péril pour sa sécurité, un Chinois brave la censure et poste une vidéo sur la situation réelle (sous-titres français)",https://www.dreuz.info/2020/01/26/coronavirus-au-peril-pour-sa-securite-un-chinois-brave-la-censure-et-poste-une-video-sur-la-situation-reelle/
7,FAKE/HOAX,2,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/china-building-1000-bed-hospital-21349892
8,FAKE/HOAX,2,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/wuhan-coronavirus-crematoriums-working-247-21434630?utm_source=twitter.com&utm_medium=social&utm_campaign=sharebar
9,FAKE/HOAX,2,rt.com,Not a tease: Russia faces sex-toy shortage if coronavirus continues to spread,https://on.rt.com/aaym
10,FAKE/HOAX,2,politicususa.com,,https://www.politicususa.com/2020/03/09/trump-barr-coronavirus.html
11,FAKE/HOAX,2,dailymail.co.uk,Fox News 'willfully and maliciously deceived public' about coronavirus,https://www.dailymail.co.uk/news/article-8187883/fox-news-sued-willfully-maliciously-deceiving-public-dangers-coronavirus.html
12,FAKE/HOAX,2,ripostelaique.com,"Covid-19, une découverte majeure : le virus se sert d'une bactérie pour tuer - Riposte Laïque",https://ripostelaique.com/covid-19-une-decouverte-majeure-le-virus-se-sert-dune-bacterie-pour-tuer.html
13,FAKE/HOAX,2,dreuz.info,"Enquête sur le Coronavirus : la Chine menace de représailles, Macron baisse son froc",https://www.dreuz.info/2020/04/28/enquete-sur-le-coronavirus-la-chine-menace-de-represailles-macron-baisse-son-froc/
14,FAKE/HOAX,2,breitbart.com,Italy: 96% of Coronavirus Fatalities Had Other Chronic Illnesses,https://www.breitbart.com/health/2020/05/27/italy-96-of-coronavirus-fatalities-had-other-chronic-illnesses/
15,FAKE/HOAX,2,breitbart.com,W.H.O. Warns of 'Worsening' Global Coronavirus Crisis,https://www.breitbart.com/health/2020/06/09/w-h-o-says-coronavirus-crisis-worsening-prescribes-active-surveillance-of-infected-populations/
16,FAKE/HOAX,1,dailymail.co.uk,US health experts hosted fictional coronavirus simulation 3 months ago,https://www.dailymail.co.uk/health/article-7925475/us-health-experts-predicted-coronavirus-kill-65million-people-year-three-months-ago.html
17,FAKE/HOAX,1,breitbart.com,Wuhan: Chinese scientists trace coronavirus to snakes - Breitbart,https://www.breitbart.com/news/wuhan-chinese-scientists-trace-coronavirus-to-snakes/
18,FAKE/HOAX,1,thegatewaypundit.com,"With Worst Economy in Decades, Will Wuhan's Deadly Coronavirus Be the Catalyst for China's Economic Collapse?",https://www.thegatewaypundit.com/2020/01/with-worst-economy-in-decades-will-wuhans-deadly-coronavirus-be-the-catalyst-for-chinas-economic-collapse/
19,CONSPIRACY/JUNKSCI,1,zerohedge.com,Coronavirus Pandemic Simulation Run 3 Months Ago Predicts 65 Million People Could Die,https://www.zerohedge.com/health/coronavirus-pandemic-simulation-run-3-months-ago-predicts-65-million-people-could-die
20,FAKE/HOAX,1,albertonews.com,,https://albertonews.com/internacionales/como-se-prepara-la-sopa-de-murcielago-a-la-que-relacionan-con-el-brote-de-coronavirus/
