date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;EMO_Sentiment_min;EMO_Sentiment_max;iso3
2020-01-22;0;0;0;;;;;;97.0;76.0;2.0;61.0;34.0;;2.0;;188945.0;24321.0;32598.0;;132026.0;;-0.05721034482758616;0.07536549882489707;5.271034951038239;5.234785157946342;4.280711835232669;0.089156907705765;0.06139006614971234;0.03424212429259781;-0.0025419645390070923;-4.073404255319148e-05;-0.01771054432624113;0.0005322021276595745;0.07351698657548128;0.0018696910558937423;0.0014654184656051352;0.005155755697175046;0.0017406684328504414;0.004832599892500342;10.0;7.0;8.0;4832.0;3028.0;3786.0;;10.0;;7.0;;4832.0;;3028.0;['ar'];10.0;;;;6.0;1.0;;;4832.0;;;;2783.0;245.0;;;-0.13257584365248323;0.018155153997310908;OMN
2020-01-23;0;0;0;;;;;;148.0;120.0;8.0;98.0;36.0;;14.0;;1536648.0;40570.0;51751.0;;1444327.0;;-0.033435869565217366;0.058179753223065525;5.481322364495785;5.308297360535012;4.457918647898532;0.09650521582571008;0.05495724857284593;0.04777445127131208;0.0008984239130434781;0.001054217391304348;-0.022110982971014482;0.0020264003623188405;0.07268362801932368;0.0008984239130434781;0.001054217391304348;0.0049358017762612645;0.0013377876081821086;0.0043300135159564865;21.0;3.0;13.0;8925.0;6290.0;892527.0;1.0;20.0;;3.0;1815.0;7110.0;;6290.0;['ar'];16.0;5.0;;;2.0;1.0;;;6289.0;2636.0;;;785.0;5505.0;;;-0.09161562278828289;0.02474388365784816;OMN
2020-01-24;0;0;0;;;;;;250.0;149.0;31.0;173.0;75.0;;2.0;;408212.0;157590.0;115150.0;;135472.0;;0.02085765765765768;0.05070898318356559;5.591071556447579;5.4328874232605004;4.314983238782334;0.08366901239813784;0.0551182058847096;0.044057082825596935;-0.0028711544117647056;-0.0007224852941176469;-0.032844446078431365;7.540196078431365e-05;0.06842194065126052;0.0016927802911345887;0.0007224852941176468;0.003590060223514708;0.00064542386918067;0.004110216128747847;21.0;5.0;9.0;18240.0;1364.0;90545.0;2.0;19.0;;5.0;10139.0;8101.0;;1364.0;['ar'];10.0;11.0;;;4.0;1.0;;;13197.0;5043.0;;;501.0;863.0;;;-0.029851325525907912;0.07156664084122327;OMN
2020-01-25;0;0;0;;;;;;505.0;278.0;126.0;354.0;147.0;;4.0;;785745.0;283849.0;205286.0;;296610.0;;-0.06181745283018863;0.039844959575496296;5.44009381976776;5.315169763674486;4.357920812743334;0.06144137784188549;0.03866806441349966;0.034873843829621595;-0.0011744850746268655;-1.1738805970149241e-05;-0.025188401830135074;0.002242809701492537;0.07157443725151305;0.0006815638544586492;0.0005121798584249249;0.003055651420424057;0.0009532120628738877;0.003322856754592831;44.0;9.0;12.0;39577.0;9601.0;9075.0;7.0;37.0;5.0;4.0;3966.0;35611.0;9069.0;532.0;['ar'];36.0;8.0;;;6.0;3.0;;;16382.0;23195.0;;;1109.0;8492.0;;;-0.10166241240568492;-0.021972493254692332;OMN
2020-01-26;0;0;0;;;;;;561.0;357.0;138.0;364.0;171.0;;26.0;;4033524.0;233387.0;1232799.0;;2567338.0;;-0.1303675373134328;0.03345591387609827;5.4097399725881745;5.287490299587722;4.256778631060635;0.050780217007991436;0.03611097479310358;0.02960347880027935;-0.0006649686379928317;-0.0014164193548387098;-0.02676904110343061;0.0002147105734767024;0.07146826317141641;0.0004922694379702754;0.0006280421537595037;0.002290742838243959;0.0005683907221086407;0.002561527817437016;40.0;11.0;36.0;29382.0;4164.0;682656.0;3.0;37.0;;11.0;775.0;28607.0;;4164.0;['ar'];30.0;10.0;;;10.0;1.0;;;7420.0;21962.0;;;3795.0;369.0;;;-0.16382345118953107;-0.09691162343733455;OMN
2020-01-27;0;0;0;;;;;;346.0;273.0;30.0;234.0;92.0;;20.0;;1536302.0;195197.0;106853.0;;1234252.0;;-0.12632407407407398;0.038305080953417454;5.185512977294086;5.20693410832639;4.363774207487341;0.0565161999980371;0.04440443377142913;0.035268748994739994;-0.0014573680555555553;-0.00526725925925926;-0.027009867129629647;0.0012135062499999995;0.07471421769391877;0.0006437947989667396;0.0013474131353865462;0.003050347297920321;0.0007447627744067335;0.003469770127410321;32.0;4.0;35.0;16881.0;5393.0;367191.0;2.0;30.0;1.0;3.0;1120.0;15761.0;2626.0;2767.0;['ar'];24.0;8.0;;;1.0;3.0;;;10215.0;6666.0;;;133.0;5260.0;;;-0.16462915502749143;-0.08801899312065653;OMN
2020-01-28;0;0;0;;;;;;361.0;292.0;17.0;257.0;95.0;;9.0;;890775.0;118362.0;306523.0;;465890.0;;-0.14955506607929514;0.03664654566028711;5.280384047240563;5.30453911336609;4.2487132059997865;0.04395167224822465;0.03138693563610419;0.02883213326822592;-0.003139994252873563;-0.0022588045977011487;-0.02199433654898745;0.0023968664750957844;0.0656485187465792;0.0009048664314435477;0.0007822843859616813;0.003013486607316309;0.000910296372588234;0.003398415921708377;48.0;15.0;24.0;98604.0;5694.0;210680.0;5.0;43.0;1.0;14.0;1433.0;97171.0;215.0;5479.0;['ar'];42.0;5.0;;1.0;10.0;5.0;;;15987.0;29788.0;;52829.0;1956.0;3738.0;;;-0.18620161173958225;-0.11290852041900803;OMN
2020-01-29;0;0;0;;;;;;417.0;316.0;25.0;282.0;115.0;;20.0;;1632067.0;214307.0;253611.0;;1164149.0;;-0.08284261603375527;0.03322789707711768;5.2614935996704295;5.259239036595747;4.330100904628345;0.0498583755426506;0.03654821490404351;0.03162969182098063;-0.005388596371882086;-0.004328751700680271;-0.029890845011337888;-0.0007470142377463809;0.07163630330147935;0.0018024285397248289;0.0015087848413300722;0.0030140442432039123;0.0012284489081583756;0.002996215794487812;22.0;6.0;10.0;7843.0;15107.0;159022.0;;22.0;;6.0;;7843.0;;15107.0;['ar'];17.0;5.0;;;5.0;1.0;;;6014.0;1829.0;;;1563.0;13544.0;;;-0.11607051311087295;-0.04961471895663759;OMN
2020-01-30;0;0;0;;;;;;581.0;463.0;24.0;381.0;172.0;;28.0;;2450505.0;227126.0;334709.0;;1888670.0;;-0.11643918918918908;0.02674216950232957;5.221434356031186;5.166739095653655;4.315053986884808;0.040273675112802124;0.028819067618302507;0.024278480763973063;-0.0023531786885245907;-0.001708136475409836;-0.030189281128024936;-0.00044374590163934435;0.07337407767406773;0.000829482736059437;0.0007154912224672426;0.002182268924935;0.0008000725618707481;0.0019250973720644825;25.0;5.0;22.0;10566.0;1664.0;170351.0;1.0;24.0;;5.0;188.0;10378.0;;1664.0;['ar'];22.0;3.0;;;4.0;1.0;;;9385.0;1181.0;;;1076.0;588.0;;;-0.14318135869151866;-0.0896970196868595;OMN
2020-01-31;0;0;0;;;;;;524.0;373.0;78.0;332.0;177.0;;15.0;;2081134.0;221882.0;563744.0;;1295508.0;;-0.059957586206896535;0.03359223194949821;5.258502196202718;5.264464127211527;4.326768967240321;0.05474631112774463;0.03589167504858199;0.031818730000231395;-0.002879061274509805;-0.0019584098583877987;-0.03282967355664484;-0.0010758455882352944;0.07429118363589031;0.0010579568550054992;0.000831608922603578;0.00243124469221937;0.0009608957633208113;0.00227892962914761;23.0;7.0;12.0;49730.0;1687.0;48316.0;4.0;19.0;;7.0;2712.0;47018.0;;1687.0;['ar'];20.0;3.0;;;4.0;3.0;;;49290.0;440.0;;;675.0;1012.0;;;-0.09354981815639474;-0.026365354257398325;OMN
2020-02-01;0;0;0;;;;;;287.0;218.0;29.0;189.0;96.0;;2.0;;373124.0;87935.0;214657.0;;70532.0;;-0.19032457142857148;0.03618323692851955;5.187696824304536;5.194404008373424;4.230688508521622;0.05594171943040373;0.0370813832840728;0.03321875888879655;-0.0004062416666666667;-0.00045334907407407405;-0.031636003472222264;-0.00026747500000000004;0.07497974927186242;0.00040624166666666653;0.00045334907407407405;0.0026922795671337064;0.0005928485072223394;0.0029451204103740024;13.0;5.0;8.0;8713.0;13687.0;5551.0;2.0;11.0;1.0;4.0;6393.0;2320.0;6335.0;7352.0;['ar'];10.0;3.0;;;1.0;4.0;;;1416.0;7297.0;;;67.0;13620.0;;;-0.22650780835709103;-0.15414133450005194;OMN
2020-02-02;0;0;0;;;;;;446.0;385.0;9.0;285.0;139.0;;22.0;;1763968.0;129021.0;284410.0;;1350537.0;;-0.04914413793103447;0.032661266589385944;5.389391001709543;5.308756990547861;4.29072285695906;0.04507974121126248;0.02949958921238265;0.02572408164505725;-0.0010591613953488373;-0.0013009368992248065;-0.0306678429014396;0.0014763434883720927;0.07133975157958324;0.0006061415814614281;0.0006582624315906949;0.0023418202206176033;0.0005542953259706134;0.002173910034694977;23.0;8.0;13.0;31449.0;2786.0;209471.0;;23.0;;8.0;;31449.0;;2786.0;['ar'];16.0;7.0;;;6.0;2.0;;;27945.0;3504.0;;;2459.0;327.0;;;-0.08180540452042041;-0.016482871341648525;OMN
2020-02-03;0;0;0;;;;;;340.0;247.0;42.0;237.0;86.0;1.0;16.0;;1790695.0;140420.0;260282.0;123497.0;1266496.0;;-0.07165396039603958;0.03708928968230938;5.33407667249592;5.309170754173607;4.276169697300541;0.050421488754427216;0.03846764438145363;0.02960538653569805;-0.0009788285714285713;-6.871428571428503e-06;-0.02829029023809526;-0.00014883452380952386;0.07498214378771077;0.0005114737976954127;0.000700923135233043;0.0026806369946583823;0.0005798333322882934;0.0022863145995789943;15.0;5.0;3.0;8835.0;1247.0;70418.0;;15.0;;5.0;;8835.0;;1247.0;['ar'];13.0;2.0;;;4.0;1.0;;;7885.0;950.0;;;1225.0;22.0;;;-0.10874325007834895;-0.0345646707137302;OMN
