date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_market_cap;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;local_languages;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;iso3
2020-01-22;;;;;;;;;227.0;138.0;;142.0;69.0;;16.0;;2487316.0;69778.0;268331.0;;2149207.0;;-0.019440566037735817;0.056751629600523434;5.378948462390324;5.285728730571751;4.239756520180936;0.0610762699345103;0.042949365134611416;0.03313834497792767;-0.0009690714285714287;-0.0018889047619047622;-0.02200332312925169;-0.0002064166666666668;0.08077771031746034;0.0006810965359864032;0.0010829731499677519;0.003180620277002225;0.0007249098290431402;0.002328942096966213;28.0;8.0;21.0;1168133.0;58237.0;76915.0;;28.0;;8.0;;1168133.0;;58237.0;['am', 'om'];15.0;7.0;;6.0;3.0;5.0;;;4746.0;12728.0;;1150659.0;186.0;58051.0;;;ETH
2020-01-23;;;;;;;;;343.0;190.0;1.0;224.0;111.0;1.0;7.0;;2448574.0;194700.0;579912.0;13245.0;1660717.0;;0.1371712574850299;0.0420679984528966;5.760510034093461;5.532468880456049;4.383625146382636;0.0730948777303735;0.04474907790552106;0.041509022764537495;-0.0007169294117647058;0.0;-0.015499538823529403;0.0014567215686274507;0.06229017819794589;0.0007169294117647058;0.0;0.0038835873318949056;0.0011754263153331587;0.004753747090204987;45.0;10.0;14.0;734553.0;30409.0;85717.0;;45.0;;10.0;;734553.0;;30409.0;['am', 'om'];32.0;9.0;;4.0;7.0;3.0;;;20435.0;8190.0;;705928.0;4051.0;26358.0;;;ETH
2020-01-24;;;;;;;;;741.0;344.0;1.0;502.0;230.0;;9.0;;3384031.0;698102.0;740779.0;;1945150.0;;0.09025978260869562;0.034337921102000415;5.6938119707915;5.474226243945759;4.347199539910343;0.06307556774520874;0.03839397167677205;0.027011708694246715;-0.0011910650887573962;0.0004676676923076922;-0.023843618441814627;-0.00026173767258382664;0.05821615632807368;0.0007099709337334932;0.0007238549969019923;0.002657689571315539;0.0007227178248239353;0.0032206638222525177;69.0;26.0;41.0;1155691.0;21513.0;73489.0;;69.0;;26.0;;1155691.0;;21513.0;['am', 'om'];50.0;16.0;;3.0;18.0;8.0;;;59781.0;141121.0;;954789.0;16925.0;4588.0;;;ETH
2020-01-25;;;;;;;;;1120.0;566.0;2.0;695.0;420.0;4.0;1.0;;1682076.0;1046410.0;627942.0;3612.0;4112.0;;-0.07591145584725532;0.028736435782143938;5.580267668409637;5.40422771325896;4.257500946738452;0.038755972935356084;0.02501449923303652;0.02443492951884173;-0.001329872822299651;-0.0013034320557491286;-0.018489262833914003;0.0008030708478513352;0.05560474385128037;0.0006340158061393209;0.0005422377197314003;0.0024216982570488157;0.0010552978718045187;0.0028513373329539927;61.0;14.0;25.0;58412.0;45282.0;12099.0;;61.0;;14.0;;58412.0;;45282.0;['am', 'om'];43.0;17.0;;1.0;8.0;6.0;;;41265.0;13035.0;;4112.0;9932.0;35350.0;;;ETH
2020-01-26;;;;;;;;;1278.0;789.0;;767.0;499.0;4.0;8.0;;2212457.0;1146513.0;523301.0;12062.0;530581.0;;-0.15667428571428588;0.023626870910427814;5.271048597478104;5.136357009404245;4.346160892724845;0.034814259675499934;0.027297619244246424;0.025388984177448462;-0.0010020746225319396;-0.0019060627822944894;-0.023249143044263745;0.0009716409214092141;0.06805422299776398;0.0005529628457239293;0.0005697806244549915;0.0018615006328562406;0.0005405958219695339;0.0020039468467770573;58.0;20.0;49.0;75906.0;107442.0;111684.0;;58.0;;20.0;;75906.0;;107442.0;['am', 'om'];38.0;19.0;;1.0;14.0;5.0;;1.0;30165.0;41629.0;;4112.0;15229.0;26923.0;;65290.0;ETH
2020-01-27;;;;;;;;;780.0;452.0;12.0;463.0;301.0;2.0;14.0;;4255311.0;862933.0;814004.0;15067.0;2563307.0;;-0.1974890449438204;0.0302426446830339;5.246917404666309;5.300739526549995;4.251495719287283;0.037751101520342;0.029831523868488138;0.027837364029793886;-0.0007197212061295107;-0.004835112456747405;-0.022931278863898428;0.002447108996539792;0.06357280547359209;0.00031978566960838534;0.0009272905625739256;0.0021974308672758343;0.0005590326643174298;0.002521847250021536;78.0;16.0;34.0;1721263.0;181098.0;664560.0;;78.0;;16.0;;1721263.0;;181098.0;['am', 'om'];43.0;28.0;;7.0;9.0;7.0;;;37135.0;23411.0;;1660717.0;8099.0;172999.0;;;ETH
2020-01-28;;;;;;;;;1273.0;838.0;22.0;778.0;436.0;18.0;41.0;;7720775.0;1170708.0;2470354.0;89073.0;3990640.0;;-0.17862417910447706;0.021212530569368955;5.191115872341869;5.279589932389788;4.230441368622216;0.029302296828345488;0.02018107331194844;0.01646477872578184;-0.00279884348395547;-0.0018587858546168952;-0.03280992177939953;0.0008004097677698854;0.06741863270687483;0.0004139352295405485;0.00047504871635669217;0.0016377833553062595;0.0005772147629464106;0.0017018843665102207;77.0;35.0;72.0;859992.0;337063.0;258721.0;3.0;74.0;1.0;34.0;3171.0;856821.0;660.0;336403.0;['am', 'om'];44.0;28.0;2.0;3.0;20.0;12.0;;3.0;59193.0;339041.0;12915.0;448843.0;13574.0;88095.0;;235394.0;ETH
2020-01-29;;;;;;;;;1007.0;626.0;3.0;582.0;352.0;8.0;65.0;;7199489.0;728483.0;980931.0;105960.0;5384115.0;;-0.06920685840707963;0.025401828029120624;5.300345682932375;5.249282087549997;4.337218814868627;0.036828520317021184;0.025393903338915648;0.02257271846201186;-0.0017905139490139495;-0.0010003872053872054;-0.02910326948853612;0.0008502024250440916;0.0693624088731227;0.0007838972290829191;0.0004507599177837665;0.002046767814589645;0.0005023252668004918;0.0019871604135299945;83.0;24.0;38.0;896094.0;83086.0;376331.0;;83.0;;24.0;;896094.0;;83086.0;['am', 'om'];51.0;24.0;;8.0;17.0;6.0;;1.0;58680.0;315094.0;;522320.0;12882.0;4914.0;;65290.0;ETH
2020-01-30;;;;;;;;;1419.0;919.0;16.0;767.0;585.0;11.0;56.0;;8927472.0;940324.0;3376004.0;63912.0;4547232.0;;-0.058319571428571436;0.019545515254612882;5.219591579339407;5.209249658340316;4.277676654104374;0.029232497394740962;0.021510000766024797;0.017408700822273374;-0.001564005060728745;-0.0018736565452091767;-0.030729750021547205;0.0007007864372469635;0.06831644157650031;0.00044999204629696797;0.000467501294375035;0.001540493852584043;0.0005391500130300783;0.0015634778944652776;63.0;33.0;92.0;687821.0;155202.0;135338.0;1.0;62.0;1.0;32.0;53.0;687768.0;13.0;155189.0;['am', 'om'];37.0;20.0;;6.0;15.0;17.0;;1.0;11996.0;284085.0;;391740.0;35782.0;54130.0;;65290.0;ETH
2020-01-31;;;;;;;;;1122.0;716.0;10.0;656.0;414.0;9.0;43.0;;6916083.0;941992.0;1844484.0;8693.0;4120914.0;;-0.09951423550087883;0.02327673099668723;5.1691640379085655;5.2235305143963915;4.305997470443184;0.03639135101439369;0.025302735925336987;0.02103471845662731;-0.002579512790697675;-0.0024655520025839784;-0.028817667141934306;-4.640455426356642e-05;0.0672537280575165;0.0007015156908382023;0.0006554045409499822;0.001819050938137686;0.0007276121338099743;0.002061440793068862;76.0;18.0;40.0;901797.0;75090.0;31826.0;2.0;74.0;;18.0;3656.0;898141.0;;75090.0;['am', 'om'];47.0;25.0;;4.0;13.0;4.0;;1.0;54427.0;586210.0;;261160.0;5803.0;3997.0;;65290.0;ETH
