date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,KHM,60,27,1,32,3,3,57,11,2,26,0.1538,9,17,3,8,0,0,1,0,1,0.2837,0.0456,0.0,0.3251,0.125,0.0,0.1429,,,0.0,,0.0,,,,,
2020-01-23,KHM,154,45,11,98,6,3,151,21,9,36,0.3,12,21,0,21,0,1,4,3,1,0.3279,0.4419,0.3925,0.2086,0.2857,0.5,0.2353,,,0.0,,0.0,,,,,
2020-01-24,KHM,277,83,5,189,9,5,272,24,11,55,0.3143,17,37,1,23,0,1,4,4,2,0.5569,0.0156,0.0,0.607,0.375,0.0,0.3913,,,0.0,,0.0,,,,,
2020-01-25,KHM,355,56,11,288,3,7,348,34,15,25,0.3061,5,18,2,32,0,5,7,2,1,0.0671,0.0029,0.0,0.0879,0.35,0.0,0.3784,,,0.0,,0.0,,,,,
2020-01-26,KHM,388,102,12,274,2,8,380,38,8,61,0.1739,8,35,0,38,0,1,5,2,0,0.0993,0.0,0.0,0.236,0.2353,0.0,0.25,,,0.0,,0.0,,,,,
2020-01-27,KHM,498,183,11,304,11,19,479,42,13,143,0.2364,40,94,3,39,0,1,12,0,0,0.023,0.0051,0.0,0.162,0.3056,0.0,0.3143,,,0.0,,0.0,,,,,
2020-01-28,KHM,451,177,12,262,13,13,438,28,13,123,0.3171,36,80,0,28,0,1,11,1,0,0.2923,0.447,0.0,0.1855,0.3929,0.0,0.4074,,1.0,1.0,,0.0,,,,,
2020-01-29,KHM,357,130,8,219,5,6,351,15,12,46,0.4444,8,34,0,15,0,0,9,1,2,0.2481,0.1491,,0.316,0.4545,,0.4545,,1.0,0.0,,0.0,,,,,
2020-01-30,KHM,421,184,11,226,5,20,401,19,9,60,0.3214,6,45,0,19,0,1,7,1,0,0.0284,0.0019,,0.0459,0.3684,,0.3684,,1.0,0.0,,0.0,,,,,
2020-01-31,KHM,421,138,42,241,0,9,412,24,4,64,0.1429,4,55,3,21,0,3,1,0,0,0.0415,0.0475,,0.013,0.1765,,0.1765,,1.0,0.0,,0.0,,,,,
2020-02-01,KHM,255,83,14,158,2,3,252,11,6,40,0.3529,8,26,1,10,0,3,1,1,1,0.2768,0.0288,0.0,0.574,0.4545,0.0,0.5556,,1.0,0.0,,0.0,,,,,
2020-02-02,KHM,241,64,5,172,0,5,236,18,9,25,0.3333,7,16,0,18,0,5,2,2,0,0.2635,0.1086,,0.4565,0.4615,,0.4615,,1.0,0.0,,0.0,,,,,
2020-02-03,KHM,236,102,11,123,1,6,230,13,8,23,0.381,12,10,0,13,0,5,3,0,0,0.2232,0.5284,0.0,0.0578,0.4667,0.0,0.5385,,1.0,0.0,,0.0,,,,,
2020-02-04,KHM,302,132,41,129,1,12,290,16,4,78,0.2,10,58,1,15,0,0,2,0,2,0.0751,0.0259,,0.31,0.3333,,0.3333,,1.0,0.0,,0.0,,,,,
2020-02-05,KHM,228,103,6,119,0,7,221,18,3,16,0.1429,3,11,0,18,0,0,1,1,1,0.0525,0.0,0.0,0.0697,0.1875,0.0,0.2,,1.0,0.0,,0.0,,,,,
2020-02-06,KHM,177,83,6,88,2,10,167,9,2,19,0.1818,3,15,1,8,0,0,1,0,1,0.0526,0.0778,,0.0,0.0,,0.0,,1.0,0.0,,0.0,,,,,
2020-02-07,KHM,235,85,7,143,1,11,224,18,2,26,0.1,3,20,1,17,0,1,1,0,0,0.1393,0.4533,0.0,0.0054,0.0667,0.0,0.0769,,1.0,0.0,,0.0,,,,,
2020-02-08,KHM,180,58,7,115,0,6,174,20,3,23,0.1304,5,14,0,20,0,1,2,0,0,0.0174,0.2024,,0.0003,0.0625,,0.0625,,1.0,0.0,,0.0,,,,,
