date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,GIB,9,2,0,7,0,0,9,0,3,0,1.0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,
2020-01-23,GIB,17,0,0,17,0,0,17,1,1,7,0.5,4,3,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-01-24,GIB,37,9,0,28,0,1,36,4,5,12,0.5556,4,8,0,4,0,0,2,1,2,,,,,,,,,,,,,,,,,
2020-01-25,GIB,32,8,0,24,0,1,31,4,2,6,0.3333,1,4,0,4,0,0,1,0,1,,,,,,,,,,,,,,,,,
2020-01-26,GIB,57,1,4,52,0,0,57,11,9,8,0.45,1,7,0,11,0,0,0,2,7,,,,,,,,,,,,,,,,,
2020-01-27,GIB,64,9,1,54,0,2,62,14,5,13,0.2632,5,8,1,13,0,0,0,0,5,,,,,,,,,,,,,,,,,
2020-01-28,GIB,91,14,0,77,0,2,89,7,9,36,0.5625,7,27,0,7,0,0,3,1,5,,,,,,,,,,,,,,,,,
2020-01-29,GIB,79,11,2,66,0,2,77,4,13,13,0.7647,5,7,0,4,0,0,5,1,7,,,,,,,,,,,,,,,,,
2020-01-30,GIB,114,29,3,82,0,0,114,9,4,6,0.3077,1,4,0,9,0,0,1,0,3,,,,,,,,,,,,,,,,,
2020-01-31,GIB,114,18,9,87,0,2,112,6,16,15,0.7273,2,11,0,6,0,0,3,0,13,,,,,,,,,,,,,,,,,
2020-02-01,GIB,69,17,6,46,0,0,69,3,10,7,0.7692,4,1,0,3,0,0,4,1,5,,,,,,,,,,,,,,,,,
2020-02-02,GIB,91,11,12,68,0,0,91,7,5,12,0.4167,4,8,3,4,0,0,1,1,3,,,,,,,,,,,,,,,,,
2020-02-03,GIB,85,5,8,72,0,0,85,8,7,10,0.4667,2,8,0,8,0,0,1,0,6,,,,,,,,,,,,,,,,,
2020-02-04,GIB,64,4,3,57,0,2,62,2,11,11,0.8462,4,6,0,2,0,0,1,0,10,,,,,,,,,,,,,,,,,
2020-02-05,GIB,104,4,24,76,0,0,104,6,16,7,0.7273,7,0,0,6,0,0,1,11,4,,,,,,,,,,,,,,,,,
2020-02-06,GIB,88,7,15,66,0,1,87,7,7,15,0.5,4,10,0,7,0,0,2,1,4,,,,,,,,,,,,,,,,,
2020-02-07,GIB,95,5,0,90,0,2,93,9,9,18,0.5,4,14,0,9,0,0,1,0,8,,,,,,,,,,,,,,,,,
2020-02-08,GIB,69,11,1,57,0,0,69,10,4,8,0.2857,1,6,0,10,0,0,1,2,1,,,,,,,,,,,,,,,,,
2020-02-09,GIB,54,3,5,46,0,0,54,7,1,3,0.125,2,1,0,7,0,0,1,0,0,,,,,,,,,,,,,,,,,
2020-02-10,GIB,57,6,0,51,0,0,57,12,1,8,0.0769,3,4,0,12,0,0,0,0,1,,,,,,,,,,,,,,,,,
2020-02-11,GIB,55,11,2,42,0,4,51,5,3,10,0.375,6,4,0,5,0,0,0,0,3,,,,,,,,,,,,,,,,,
2020-02-12,GIB,68,9,3,56,0,0,68,3,4,6,0.5714,3,3,0,3,0,0,1,1,2,,,,,,,,,,,,,,,,,
2020-02-13,GIB,54,11,1,42,0,3,51,5,8,8,0.6154,3,5,0,5,0,1,2,0,5,,,,,,,,,,,,,,,,,
2020-02-14,GIB,44,5,9,30,0,1,43,2,2,4,0.5,2,2,0,2,0,0,0,0,2,,,,,,,,,,,,,,,,,
2020-02-15,GIB,65,8,8,49,0,1,64,5,12,12,0.7059,3,9,0,5,0,0,3,1,8,,,,,,,,,,,,,,,,,
2020-02-16,GIB,20,2,1,17,0,0,20,2,2,2,0.5,1,1,0,2,0,0,1,0,1,,,,,,,,,,,,,,,,,
