date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,GEO,13,4,0,9,0,0,13,2,1,6,0.3333,1,3,0,2,0,0,1,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-01-23,GEO,45,9,1,35,1,0,45,6,1,4,0.1429,2,2,0,6,0,0,1,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-01-24,GEO,87,17,4,66,1,0,87,11,3,16,0.2143,9,7,0,11,0,0,2,0,1,,,,,,,,,,0.0,,0.0,,,,,
2020-01-25,GEO,110,23,1,86,0,0,110,7,8,8,0.5333,2,5,0,7,0,0,7,1,0,,,,,,,,,,0.0,,0.0,,,,,
2020-01-26,GEO,124,19,2,103,0,0,124,12,2,15,0.1429,3,12,0,12,0,0,1,1,0,,,,,,,,,,0.0,,0.0,,,,,
2020-01-27,GEO,88,16,2,70,0,0,88,5,2,16,0.2857,2,12,0,5,0,0,1,0,1,,,,,,,,,,0.0,,0.0,,,,,
2020-01-28,GEO,93,14,3,76,0,0,93,7,6,15,0.4615,1,11,1,6,0,0,3,3,0,,,,,,,,,,0.0,,0.0,,,,,
2020-01-29,GEO,68,10,1,57,0,0,68,4,1,4,0.2,0,4,0,4,0,0,1,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-01-30,GEO,143,40,5,98,0,0,143,8,3,19,0.2727,5,8,0,8,0,1,2,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-01-31,GEO,92,16,2,74,0,0,92,6,2,4,0.25,0,3,0,6,0,1,1,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-01,GEO,64,11,0,53,0,0,64,6,2,6,0.25,1,5,0,6,0,1,1,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-02,GEO,88,16,0,72,0,0,88,5,2,11,0.2857,7,3,0,5,0,0,0,0,2,,,,,,,,,,0.0,,0.0,,,,,
2020-02-03,GEO,54,16,1,37,0,2,52,5,0,9,0.0,2,7,0,5,0,0,0,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-04,GEO,53,13,2,38,3,2,51,2,0,5,0.0,1,2,0,2,0,0,0,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-05,GEO,24,5,3,16,0,0,24,1,0,3,0.0,0,3,0,1,0,0,0,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-06,GEO,53,12,1,40,0,2,51,3,1,3,0.25,2,1,0,3,0,0,1,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-07,GEO,54,9,1,44,0,0,54,10,0,5,0.0,1,4,0,10,0,0,0,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-08,GEO,31,7,0,24,0,0,31,6,0,2,0.0,1,1,0,6,0,0,0,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-09,GEO,38,4,2,32,0,0,38,3,0,4,0.0,3,1,0,3,0,0,0,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-10,GEO,34,5,1,28,0,0,34,4,0,9,0.0,4,4,0,4,0,0,0,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-11,GEO,22,6,0,16,0,0,22,1,0,3,0.0,1,1,0,1,0,0,0,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-12,GEO,21,5,2,14,0,0,21,4,0,2,0.0,1,1,0,4,0,0,0,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-13,GEO,23,6,2,15,0,0,23,1,0,3,0.0,0,3,0,1,0,0,0,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-14,GEO,23,8,0,15,1,0,23,1,1,1,0.5,0,1,0,1,0,0,1,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-15,GEO,28,4,0,24,0,0,28,1,0,3,0.0,1,2,0,1,0,0,0,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-16,GEO,17,4,2,11,0,0,17,4,1,2,0.2,0,2,0,4,0,0,1,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-17,GEO,23,2,0,21,0,0,23,2,1,2,0.3333,1,1,0,2,0,1,0,0,0,,,,,,,,,,0.0,,0.0,,,,,
2020-02-18,GEO,33,9,2,22,1,0,33,2,1,4,0.3333,1,3,0,2,0,0,1,0,0,,,,,,,,,,0.0,,0.0,,,,,
