datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_shadow,info_fact_other,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,13,3,1,0,5129,35,0,,0,4,0,9,-0.315,5.79183,4.52683,5.7905,,,,,,0,3,0,0,1,0,0,0,0,0,0,0,
2020-01-23,55,9,2,11,15240,4906,16262,,0,12,0,43,-0.05111,5.34193,4.40121,5.2172,,,,,,3,6,0,0,2,0,0,5,0,0,0,0,
2020-01-24,85,9,4,12,18684,21423,12372,,0,24,0,61,0.07297,5.41842,4.52082,5.65869,,,,,,0,9,0,0,4,0,0,2,1,0,0,0,
2020-01-25,120,6,1,10,9755,6212,9603,,0,53,0,67,-0.07038,5.17776,4.32334,5.19119,,,,,,0,6,0,0,1,0,0,1,1,0,0,0,
2020-01-26,123,20,7,8,28267,18889,13448,,0,35,0,88,-0.19658,5.12042,4.36569,5.09088,,,,,,0,20,0,0,6,1,0,4,0,0,0,0,
2020-01-27,123,13,4,33,34415,25173,52756,,0,69,0,54,0.0279,5.2228,4.29933,5.25687,,,,,,2,11,0,0,4,0,0,9,3,0,0,0,
2020-01-28,101,8,9,15,13922,45980,11727,,0,28,0,73,0.04674,5.28949,4.19612,5.21575,,,,,,0,8,0,0,4,5,0,2,0,0,0,0,
2020-01-29,84,4,10,4,9815,32752,1610,,0,25,0,59,0.13144,5.23646,4.32806,5.16809,0.03327,-0.04022,0.06839,-0.04401,0.04879,0,4,0,0,8,1,0,1,1,0,0,0,
2020-01-30,182,13,4,16,29708,13110,13010,,0,109,0,73,0.03561,5.30961,4.20991,5.34897,0.02272,-0.04022,0.06225,0.02071,0.04879,0,13,0,1,3,0,0,2,5,0,0,0,
2020-01-31,154,9,4,9,13532,5222,8728,,0,73,0,81,-0.25343,5.1421,4.27165,4.98927,-0.01081,-0.04785,0.00692,0.04562,0.00087,0,9,0,0,4,0,0,2,1,0,0,0,
2020-02-01,138,15,9,14,34565,17547,25704,,0,44,0,94,-0.06299,5.21813,4.40582,5.13125,,,,,,1,14,1,0,7,0,0,4,1,0,0,0,
2020-02-02,114,15,7,11,34665,15648,22759,,0,35,0,79,-0.0657,5.22148,4.36179,5.05318,-0.0576,-0.01538,-0.03673,0.08378,0.0196,0,15,0,0,6,0,0,0,1,0,0,0,
2020-02-03,105,29,3,13,67515,7366,22351,,0,28,0,77,-0.22956,5.1177,4.42444,4.99802,,,,,,0,29,0,0,3,0,0,0,1,0,0,0,
2020-02-04,68,16,2,7,39305,4910,9242,,0,15,0,53,-0.02562,5.21993,4.29992,5.30793,,,,,,0,16,0,0,2,0,0,0,0,0,0,0,
2020-02-05,61,19,1,9,46644,2454,13875,,0,37,0,24,-0.16593,4.96803,4.42601,4.98714,,,,,,0,19,0,0,1,0,0,1,1,0,0,0,
2020-02-06,87,18,6,7,39571,14712,13650,,0,51,0,36,0.06844,5.07641,4.52352,4.89355,,,,,,0,18,0,0,6,0,0,1,1,0,0,0,
2020-02-07,43,5,0,2,6494,0,6507,,0,14,0,29,0.02294,4.96085,4.52167,4.73607,0.0188,-0.02123,0.07002,-0.02225,0.03666,0,5,0,0,0,0,0,0,1,0,0,0,
2020-02-08,42,5,0,4,3497,0,3517,,0,21,0,21,-0.11387,5.26352,4.26695,5.09595,,,,,,0,5,0,0,0,0,0,1,0,0,0,0,
2020-02-09,36,1,0,8,316,0,2724,,0,12,0,24,0.14766,5.59545,4.35132,5.47369,,,,,,0,1,0,0,0,0,0,8,0,0,0,0,
2020-02-10,61,2,3,14,1301,1011,6899,,0,21,0,40,-0.16027,5.297,4.24921,5.21516,-0.06984,-0.07052,-0.05361,0.08347,-0.08035,0,2,0,0,0,0,0,10,0,0,0,0,
2020-02-11,35,1,1,2,201,3907,1335,,0,15,0,20,-0.22922,5.31973,4.38178,5.07124,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,
2020-02-12,49,3,2,7,1555,728,8218,,0,8,0,41,-0.02583,5.1498,4.26713,4.9974,,,,,,0,3,0,0,0,0,0,0,1,0,0,0,
2020-02-13,17,2,0,3,2304,0,7711,,0,12,0,5,-0.21785,5.17756,3.9714,4.98176,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,
2020-02-14,56,6,1,8,11573,2448,5637,,0,31,0,25,-0.13115,5.33562,4.24925,5.25855,,,,,,0,6,0,0,1,0,0,1,0,0,0,0,
2020-02-15,87,12,0,6,26770,0,9838,,0,66,0,21,-0.07949,5.2836,4.26658,5.33126,,,,,,1,11,0,0,0,0,0,1,1,0,0,0,
2020-02-16,125,7,1,4,15069,791,6398,,0,108,0,17,0.08776,5.22073,4.05348,5.51033,,,,,,2,5,0,1,0,0,0,0,0,0,0,0,
2020-02-17,42,8,1,3,15561,2451,5824,,0,30,0,12,-0.2553,5.12326,4.30833,5.00396,0.03327,-0.04022,0.07098,0.01017,0.04879,0,8,0,0,1,0,0,2,0,0,0,0,
2020-02-18,105,8,2,15,19606,4900,28413,,0,80,0,25,-0.05049,5.30313,4.26425,5.33625,,,,,,0,8,0,0,2,0,0,2,2,0,0,0,
2020-02-19,44,1,0,1,2450,0,2450,,0,22,0,22,-0.08363,5.28232,4.21814,5.34298,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,
2020-02-20,22,4,0,3,3254,0,5027,,0,10,0,12,0.09341,5.11938,4.23441,5.13768,,,,,,0,4,0,0,0,0,0,0,0,0,0,0,
2020-02-21,106,8,3,10,12257,2675,8370,,0,58,0,48,-0.21221,5.19368,4.24624,5.14658,,,,,,0,8,0,0,2,1,0,2,0,0,0,0,
2020-02-22,208,20,6,28,50606,20687,66165,,0,62,0,146,-0.13029,5.23791,4.22367,5.14099,0.01961,-0.04022,0.05106,-0.03095,0.04796,0,20,4,0,2,0,0,5,2,0,0,0,
2020-02-23,300,29,3,13,76922,5316,27465,,0,45,0,255,0.03105,5.28746,4.25249,5.27518,0.00422,-0.02152,0.00887,0.02304,0.02849,1,28,0,1,1,0,0,3,0,0,0,0,
2020-02-24,234,32,4,19,82418,1519,46333,,0,107,0,127,-0.15135,5.23234,4.26063,5.22281,,,,,,0,32,0,0,3,0,0,8,2,0,0,0,
2020-02-25,237,20,7,9,36241,9208,9609,,0,122,0,115,-0.15895,5.27355,4.28218,5.23725,0.03327,-0.04022,0.05774,-0.02041,0.04879,1,19,0,0,6,0,0,4,0,0,0,0,
2020-02-26,197,26,5,10,49404,4973,4580,,0,99,0,98,-0.0457,5.43462,4.262,5.44948,-0.05237,-0.05939,-0.05934,0.08194,-0.07595,0,26,0,0,5,0,0,3,0,0,0,0,
2020-02-27,217,25,10,25,65756,7688,42881,,0,114,0,103,-0.01525,5.34463,4.33883,5.45369,0.03327,-0.04022,0.02581,-0.0016,0.04879,0,25,2,0,7,0,0,3,3,0,0,0,
2020-02-28,191,28,8,16,64421,9328,37787,,4,40,0,147,0.10375,5.42585,4.23944,5.61585,0.03327,-0.04022,0.06839,-0.04401,0.04879,0,28,0,0,8,0,0,7,1,0,0,0,
2020-02-29,184,21,4,14,58814,6305,24573,,0,70,0,114,-0.08638,5.31818,4.36735,5.38144,0.03107,-0.04022,0.03581,0.01844,0.00342,0,21,0,0,3,0,0,10,1,0,0,0,
2020-03-01,213,14,0,20,30881,0,46313,,0,130,0,83,-0.10633,5.28184,4.28472,5.32997,-0.00399,-0.0307,0.02577,0.02348,0.00849,0,14,0,0,0,0,0,7,0,0,0,0,
2020-03-02,247,17,2,32,40889,8679,28872,,0,124,0,123,-0.16145,5.33316,4.28028,5.39856,-0.07086,-0.02397,-0.05643,0.08478,-0.07935,0,17,0,0,2,0,0,13,0,0,0,0,
2020-03-03,197,18,2,15,32974,4926,19660,,0,47,0,150,-0.12961,5.4135,4.30623,5.42339,-0.03538,-0.04265,-0.02421,0.07053,-0.06499,0,18,0,0,2,0,0,5,1,0,0,0,
2020-03-04,291,33,8,30,79850,16619,46949,,0,78,0,213,-0.07033,5.31794,4.26262,5.33169,-0.00262,-0.05067,0.02581,0.01584,-0.0361,0,33,0,0,7,1,0,6,2,0,0,0,
2020-03-05,153,9,4,15,24952,19711,28632,,0,56,0,97,0.11392,5.2149,4.30233,5.22558,0.02954,-0.04292,0.06903,-0.01396,0.04839,0,9,3,0,1,0,0,5,0,0,0,0,
2020-03-06,245,19,2,25,48544,2596,35434,,0,66,0,179,-0.06515,5.19605,4.40961,5.15364,-0.05865,-0.07001,-0.05934,0.09055,-0.11004,0,19,1,0,1,0,0,14,2,0,0,0,
2020-03-07,202,13,6,12,35128,12343,13459,,0,68,0,134,-0.09397,5.19205,4.36001,5.08245,-0.01217,-0.0278,0.01487,-0.04704,0.02209,0,13,3,1,2,0,0,1,0,0,0,0,
2020-03-08,246,27,1,14,66534,506,28890,,0,113,0,133,-0.09006,5.33502,4.28264,5.34663,0.02201,-0.03228,0.05847,-0.01033,0.0379,0,27,0,1,0,0,0,5,1,0,0,0,
2020-03-09,221,17,2,21,41783,4717,49769,,0,105,0,116,-0.09914,5.31256,4.34355,5.37021,-0.01079,0.01341,-0.03507,0.07524,-0.00378,0,17,0,0,1,1,0,7,0,0,0,0,
2020-03-10,215,8,3,14,13435,11130,14176,,0,126,0,89,0.05211,5.39976,4.25246,5.38044,0.03327,-0.04022,0.06839,-0.04401,0.04879,0,8,0,0,2,1,0,4,0,0,0,0,
