datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,9,1,0,3,1091,0,5816,0,0,7,0,2,-0.19452,5.13127,4.41514,5.35647,,,,,,0,0,0,
2020-01-23,39,2,1,19,1395,325,68956,0.18895,0,18,0,21,-0.1822,5.31336,4.43382,5.17693,,,,,,0,0,0,
2020-01-24,38,2,0,13,726,0,60738,0,0,14,0,24,0.12016,5.34032,4.36142,5.51283,,,,,,0,0,0,
2020-01-25,90,10,1,16,4377,27,17481,0.00613,0,24,0,66,0.08081,5.32782,4.40442,5.34165,,,,,,0,0,0,
2020-01-26,88,10,7,13,3106,2268,13241,0.42203,0,33,0,55,-0.09755,5.00812,4.3792,4.96462,,,,,,0,0,0,
2020-01-27,61,6,1,14,1712,324,12263,0.15914,0,28,0,33,-0.26897,5.2647,4.44704,5.2123,,,,,,0,0,0,
2020-01-28,84,7,0,17,2268,0,15327,0,0,25,0,59,-0.1573,5.13611,4.43736,4.88088,,,,,,0,0,0,
2020-01-29,56,0,0,9,0,0,5695,0,0,18,0,38,-0.24617,4.99473,4.54898,4.90848,,,,,,0,0,0,
2020-01-30,134,9,1,11,2943,343,55341,0.10438,0,36,0,98,-0.07091,5.26669,4.18968,5.27506,0.02067,-0.02133,0.03959,0.02372,0.03796,0,0,0,
2020-01-31,90,4,4,10,1334,1485,8010,0.52678,0,34,0,56,-0.30898,5.21035,4.38105,5.02636,,,,,,0,0,0,
2020-02-01,71,0,0,11,0,0,3854,0,0,19,0,52,-0.17595,5.14278,4.40011,4.92234,,,,,,0,0,0,
2020-02-02,80,18,1,7,5858,342,4488,0.05516,0,18,0,62,-0.30362,5.12485,4.21969,5.02381,,,,,,0,0,0,
2020-02-03,65,2,2,12,672,665,4741,0.49738,0,9,0,56,-0.26177,4.93203,4.45538,4.75759,-0.0576,-0.01538,-0.03673,0.08378,0.0196,0,0,0,
2020-02-04,131,28,2,11,9072,648,4344,0.06667,0,50,0,81,-0.14519,5.08604,4.36429,4.85542,-0.02293,0.01541,0.03505,0.04227,0.00551,0,0,0,
2020-02-05,47,1,1,12,342,324,5679,0.48649,0,38,0,9,-0.04669,5.28692,4.29759,5.10871,-0.03076,-0.0111,-0.02196,0.08461,-0.05945,0,0,0,
2020-02-06,49,2,1,7,666,324,4187,0.32727,0,30,0,19,-0.43573,5.24637,4.43257,4.8722,,,,,,0,0,0,
2020-02-07,48,6,1,5,1788,324,4065,0.15341,0,38,0,10,-0.16144,4.98042,4.45577,4.88696,-0.02457,-0.00107,-0.00432,0.08437,-0.04913,0,0,0,
2020-02-08,57,9,2,12,3998,342,3845,0.0788,0,19,0,38,-0.00784,5.04367,4.29487,4.70713,,,,,,0,0,0,
2020-02-09,33,3,3,9,2238,912,7382,0.28952,0,9,0,24,-0.0558,5.25969,4.49812,5.24265,0.03327,-0.04022,0.06839,-0.04401,0.04879,0,0,0,
2020-02-10,85,4,6,27,1421,1938,16050,0.57696,0,9,0,76,-0.30489,5.11639,4.45937,4.92302,0.03194,-0.04022,0.00452,0.03139,0.04481,0,0,0,
2020-02-11,40,4,1,6,1295,324,4658,0.20012,0,3,0,37,0.01423,5.28326,4.31239,5.16608,,,,,,0,0,0,
2020-02-12,29,4,0,5,2375,0,6032,0,0,6,0,23,-0.40855,5.52054,3.93184,5.12116,,,,,,0,0,0,
2020-02-13,42,10,0,14,4624,0,15213,0,0,8,0,34,-0.17305,5.18609,4.34747,5.168,,,,,,0,0,0,
2020-02-14,51,7,1,6,2385,322,6243,0.11895,0,8,0,43,-0.09138,5.36616,4.13991,5.11344,-0.00641,-0.0445,-0.01925,0.05951,0.00346,0,0,0,
2020-02-15,44,0,4,11,0,1288,7812,1.0,0,7,0,37,-0.32926,5.16605,4.41072,4.94301,-0.00923,-0.04107,0.02438,0.05203,0.02258,0,0,0,
2020-02-16,32,4,1,4,3302,331,1416,0.09111,0,4,0,28,0.24053,5.25291,4.2567,5.15866,,,,,,0,0,0,
2020-02-17,44,4,0,10,1060,0,5070,0,0,9,0,35,-0.14294,5.11103,4.32207,4.76263,,,,,,0,0,0,
2020-02-18,54,1,0,10,322,0,10668,0,0,10,0,44,-0.18378,5.1394,4.40935,4.8208,0.03049,-0.04022,0.05259,0.03366,0.04879,0,0,0,
2020-02-19,39,3,1,7,991,322,2614,0.24524,0,6,0,33,-0.17109,5.17611,4.32599,4.92746,,,,,,0,0,0,
2020-02-20,39,3,0,8,966,0,2677,0,0,10,0,29,0.29924,5.2461,4.25813,5.23269,,,,,,0,0,0,
