datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,9962,334,161,1186,24257182,390539,159738034,0.01584,120,4158,25,5659,0.36391,5.34908,4.13569,5.31887,,,,,,0,0,0,
2020-01-23,12192,615,314,1557,15386079,1042245,359798235,0.06344,230,5004,58,6900,0.19909,5.51424,4.41435,5.78669,-0.01964,-0.04877,-0.03805,0.07276,-0.04186,0,0,0,
2020-01-24,19287,777,464,1684,29190101,1425761,211445936,0.04657,214,7817,27,11229,0.22613,5.70028,4.391,6.08931,-0.03806,-0.06236,-0.0287,0.05304,-0.06899,0,0,0,
2020-01-25,24716,640,261,1269,9530033,1062714,149398856,0.10032,157,10290,18,14251,-0.02292,5.39706,4.25467,5.48311,-0.02744,-0.06073,-0.01656,0.03936,-0.05549,0,0,0,
2020-01-26,33574,794,294,1424,11278209,630394,154720231,0.05294,135,13915,24,19500,-0.0766,5.21046,4.13829,5.35159,-0.01886,-0.05175,-0.01056,0.04085,-0.0581,0,0,0,
2020-01-27,22473,869,384,2081,10423005,1057652,268774239,0.09212,292,9270,25,12886,-0.28192,5.05505,4.40453,5.1127,-0.04166,-0.05703,-0.03924,0.06585,-0.05977,0,0,0,
2020-01-28,18182,939,609,2402,81258847,671288,349107202,0.00819,266,7712,97,10107,-0.13859,5.30179,4.14797,5.36493,-0.05068,-0.05519,-0.04168,0.07067,-0.06254,0,0,0,
2020-01-29,24410,586,196,1426,55078686,359171,200131653,0.00648,298,10239,96,13777,-0.00282,5.3427,4.17107,5.40004,0.00203,-0.08935,0.02287,-0.01057,-0.11044,0,0,0,
2020-01-30,129494,912,2855,13384,109294524,3573180,318440564,0.03166,562,52970,167,75795,0.1058,5.36388,4.16515,5.39591,-0.01421,-0.0705,0.00326,0.02744,-0.07943,1,0,0,
2020-01-31,70046,745,1114,3646,70659011,806893,333144762,0.01129,568,28742,200,40536,0.01489,5.32362,4.18863,5.30271,-0.06127,-0.07149,-0.05135,0.07593,-0.08367,1,0,0,
